,lya_model_low_2sig,lya_model_low_1sig,lya_model_median,lya_model_high_1sig,lya_model_high_2sig,lya_model unconvolved_low_2sig,lya_model unconvolved_low_1sig,lya_model unconvolved_median,lya_model unconvolved_high_1sig,lya_model unconvolved_high_2sig,lya_intrinsic_low_2sig,lya_intrinsic_low_1sig,lya_intrinsic_median,lya_intrinsic_high_1sig,lya_intrinsic_high_2sig,lya_intrinsic unconvolved_low_2sig,lya_intrinsic unconvolved_low_1sig,lya_intrinsic unconvolved_median,lya_intrinsic unconvolved_high_1sig,lya_intrinsic unconvolved_high_2sig,lya_ism_low_2sig,lya_ism_low_1sig,lya_ism_median,lya_ism_high_1sig,lya_ism_high_2sig,lya_ism unconvolved_low_2sig,lya_ism unconvolved_low_1sig,lya_ism unconvolved_median,lya_ism unconvolved_high_1sig,lya_ism unconvolved_high_2sig,lya_reversal_low_2sig,lya_reversal_low_1sig,lya_reversal_median,lya_reversal_high_1sig,lya_reversal_high_2sig,lya_reversal unconvolved_low_2sig,lya_reversal unconvolved_low_1sig,lya_reversal unconvolved_median,lya_reversal unconvolved_high_1sig,lya_reversal unconvolved_high_2sig,lya_model unconvolved_fluxes,vs value,am value,fw_L value,fw_G value,h1_col value,h1_b value,h1_vel value,h1_col2 value,h1_b2 value,h1_vel2 value,d2h value,p value,wave_lya,flux_lya,error_lya,data_mask_lya
0,9.355742859128054e-18,2.5488997532900428e-17,6.000829869610788e-17,1.0405104010926636e-16,1.4789471737180679e-16,1.3666002785919098e-17,3.725400576256587e-17,8.790450104219477e-17,1.5269198074632842e-16,2.1745913683405178e-16,9.547566328968375e-18,2.6067054167609982e-17,6.152150784963285e-17,1.071485093957686e-16,1.528254540931153e-16,1.393501132139446e-17,3.807990504466668e-17,9.001989411280222e-17,1.5708352577695895e-16,2.243807909866929e-16,0.5819323043096015,0.593428004830493,0.6018722065290361,0.6076030255979357,0.6114409643041687,0.9464604244787497,0.9645689160214954,0.9778273042201446,0.9868335395945802,0.992867984421227,0.613268815059568,0.6142223270612889,0.6149801770868384,0.6155106553921521,0.6157741303741155,0.9960274734192414,0.9974289519803854,0.9985407110006276,0.9993179684723692,0.9997036754409504,7.86784002822614e-15,9.014417544324422,-12.650444601386084,2.0621865710440717,116.41543849591419,17.808657882896767,,-29.706626377679967,,,,,1.0126801235842893,1213.510009765625,-6.523991225958062e-16,7.026004360389637e-16,1.0
1,1.1543264352786012e-17,3.142998785056492e-17,7.392663517973184e-17,1.2813005932544296e-16,1.820400049453925e-16,1.438313274345198e-17,3.9217491476762666e-17,9.245937057402196e-17,1.605164267079798e-16,2.284156425719527e-16,1.178165345579089e-17,3.214899486816969e-17,7.58370961061199e-17,1.3198753854470336e-16,1.8818649808389586e-16,1.466781365427868e-17,4.0075180816339804e-17,9.468006068376669e-17,1.6510260353668088e-16,2.3565475905311366e-16,0.6958899121286128,0.7097745554658039,0.7199766751416923,0.7268995357142647,0.731535412039264,0.9464603627437103,0.9645688760545827,0.9778272799346771,0.9868335246887919,0.9928679765361569,0.7336784766519058,0.7348525345843839,0.7357860055094134,0.7364393397137725,0.7367642449538871,0.9958246913953789,0.9972970096610759,0.9984650937553934,0.99928226063715,0.9996878356253154,8.508675309986817e-15,16.530470806022446,-12.379955293948068,4.9447517202647955,144.17208854302754,18.080330646492122,,-18.162807300960864,,,,,1.0846374157884087,1213.5633544921875,-1.2214935077412177e-16,8.369312852649048e-16,1.0
2,1.3297738250917078e-17,3.619132726031475e-17,8.503490787092353e-17,1.4727433252985728e-16,2.092066515850799e-16,1.515888249401625e-17,4.134619309738855e-17,9.739604168264472e-17,1.6895698841142624e-16,2.4029131708020315e-16,1.3575569727276765e-17,3.703098223512543e-17,8.727700445814215e-17,1.5181864968802318e-16,2.1636674309767312e-16,1.5464841836556068e-17,4.224079503886009e-17,9.974659523104411e-17,1.7374445381950752e-16,2.4791544978064487e-16,0.7704173497411533,0.7860266223481931,0.7974966650265172,0.8052837564678689,0.810498180573103,0.946460294757883,0.9645688321521887,0.9778272533336085,0.9868335083252328,0.9928679678981093,0.8128233961564977,0.8141718497015868,0.815245385912371,0.8159967027055567,0.8163708458097934,0.9956069526589936,0.9971537925687398,0.9983834876581198,0.999243659694319,0.999670929524686,9.191504294276665e-15,25.11589483059732,-12.050566530197106,10.83448087489933,170.94505399121192,18.30851170866963,,-7.843061117689476,,,,,1.3032958137348953,1213.61669921875,-1.8913083688864012e-16,8.197593863252183e-16,1.0
3,1.4826368797490705e-17,4.0299692186243415e-17,9.457435772074273e-17,1.6363170565252735e-16,2.3218717287657705e-16,1.601170238421848e-17,4.3650728426065427e-17,1.0271358829185462e-16,1.7805735912428108e-16,2.530271623884375e-16,1.513397935944829e-17,4.126297137287847e-17,9.713046836507251e-17,1.6881755790909495e-16,2.403688602909737e-16,1.6326564397759322e-17,4.4593693934339015e-17,1.052099821803062e-16,1.8313643246244392e-16,2.6111106370128214e-16,0.8198290964624745,0.8368477655001161,0.8493316138790957,0.8578210748179609,0.8635007030441354,0.9464602198287994,0.9645687838964161,0.9778272241830553,0.9868334903506978,0.9928679584308487,0.8659492854728522,0.8674452243708486,0.868638810658771,0.8694743858650897,0.8698908247193043,0.9953713658026572,0.9969996048400395,0.9982949989553658,0.9992015454923429,0.999652551049757,9.882677295007667e-15,34.829253812047654,-11.649960895117887,19.204253610616174,194.86964542481383,18.515129550781932,,2.3942241909112667,,,,,1.6052818397012034,1213.669921875,8.121744709803521e-16,1.1109623785089911e-15,1.0
4,1.6304107667168483e-17,4.42635962684046e-17,1.0373157545754886e-16,1.7927277302095698e-16,2.5411989475595143e-16,1.6924479640300172e-17,4.6108294306240385e-17,1.0838141141445358e-16,1.876689031451823e-16,2.665137460216574e-16,1.667229486550198e-17,4.536238968260109e-17,1.0665936658031862e-16,1.8514353723319486e-16,2.63395023575578e-16,1.7279173777647585e-17,4.7157071015787095e-17,1.111595369533876e-16,1.9332620018315358e-16,2.7544012683600796e-16,0.8572146437091119,0.8757169230849112,0.8892896835744093,0.8985192724745237,0.9046867700121413,0.943633316160193,0.9627069158104582,0.9766870272938153,0.9861734621794929,0.9925152819899025,0.9073082262238535,0.9089448400721957,0.9102535623835042,0.9111704977932824,0.9116279369135841,0.995117292510517,0.9968317580006504,0.9981984533354917,0.9991555705018682,0.9996324328532149,1.0561718041762738e-14,44.602063054723544,-11.25535247461458,29.981224505786237,215.05772242254096,18.697624700410884,,10.143884907687585,,,,,1.7662373573699517,1213.7232666015625,3.472813643221154e-16,9.66513614848979e-16,1.0
5,1.7806585760489916e-17,4.814788701377584e-17,1.126346042637315e-16,1.943588854360955e-16,2.7523443361618185e-16,1.792535217900643e-17,4.879355062456256e-17,1.1452262868670277e-16,1.980831797011682e-16,2.8096232723397392e-16,1.8217454873831355e-17,4.942169909025904e-17,1.159776324952549e-16,2.0104845810044115e-16,2.8582486167793844e-16,1.8309420789090974e-17,4.9967770394466e-17,1.1765101357885112e-16,2.0439599564050002e-16,2.9088596471420084e-16,0.8838079871656851,0.9037833027683759,0.9184385074887449,0.9284056207348313,0.9350671447642533,0.9404190236256531,0.9605731783595485,0.9753472545796451,0.9853776779893841,0.9920863124543406,0.9378751849723485,0.9396491843798747,0.9410699174997649,0.9420655204006885,0.9425628199562474,0.9948402212369136,0.9966490011274405,0.9980933564689056,0.9991055746896546,0.9996104734843291,,,,,,,,,,,,,,1213.776611328125,7.977376414273498e-16,1.077352005282822e-15,1.0
6,1.9366524703364567e-17,5.2064066451937795e-17,1.2143979976594504e-16,2.0925239628222786e-16,2.9582775715604997e-16,1.9020053454633882e-17,5.172113095211073e-17,1.212395112964256e-16,2.0939614478438224e-16,2.96617190620002e-16,1.9840293376224193e-17,5.350797736643079e-17,1.2528311809369407e-16,2.1684806055093998e-16,3.07976009156033e-16,1.9443353662218617e-17,5.3035545386746666e-17,1.2473814991869415e-16,2.1639084223717257e-16,3.077685858510427e-16,0.901262219922178,0.9226958164450865,0.938426306050018,0.9491280767620598,0.9562915906699044,0.9369385854778748,0.9582601331003662,0.973890084432938,0.9845120860499231,0.9916132828293868,0.959287168551649,0.9611964428599881,0.9627284624144995,0.9638014088304226,0.9643381624204657,0.9945392619256727,0.9964493360146038,0.9979785909978417,0.9990507738425701,0.9995864240769983,,,,,,,,,,,,,,1213.829833984375,-1.3936526895728582e-16,8.633711540156517e-16,1.0
7,2.1069244327589993e-17,5.615511297381997e-17,1.3061114391986617e-16,2.2450763513478966e-16,3.169457672011316e-16,2.020994744448248e-17,5.4928555184460425e-17,1.2855235797192224e-16,2.2175415935133602e-16,3.136390997015671e-16,2.161546506289234e-17,5.784371438848975e-17,1.3500074660965156e-16,2.332172384782824e-16,3.3084289354414417e-16,2.070001277520426e-17,5.642706430576006e-17,1.3252945251363944e-16,2.2962818729248676e-16,3.2622594456100065e-16,0.9132436007494384,0.9362006124015014,0.9530570343911539,0.9645326006899444,0.9722104613608447,0.9331432937570713,0.9557364058216895,0.9722972026061938,0.9835641332579822,0.9910946969323867,0.9754140033296137,0.9774641195614626,0.9791113626175554,0.9802643441664279,0.9808425925273806,0.9942087323527722,0.9962307568284002,0.9978526428542713,0.9989904724993706,0.9995600946291842,,,,,,,,,,,,,,1213.8831787109375,1.516027192292272e-15,1.2328961593980367e-15,1.0
8,2.3048116487832257e-17,6.062342444684633e-17,1.4033632718971044e-16,2.4053089715378184e-16,3.389833445534944e-16,2.156282355442478e-17,5.848775870335504e-17,1.3661563190332187e-16,2.351725646092096e-16,3.3220348041560305e-16,2.366818813245925e-17,6.260215488649412e-17,1.4536188246507956e-16,2.5053043723643903e-16,3.550295802860807e-16,2.2120722224609042e-17,6.01935771447776e-17,1.4112257075578423e-16,2.4413829615996175e-16,3.464545180348454e-16,0.9210128800732797,0.9455461717166578,0.963579172311665,0.9758714102328611,0.9840954408546654,0.9290052485921796,0.9529707054265326,0.9705510576584852,0.9825254260853652,0.9905255163205033,0.9875245541097805,0.9897181005317951,0.991486949175626,0.9927251835737876,0.9933460881615107,0.9938426617597221,0.9959902522324127,0.9977137649552505,0.9989236956451604,0.9995301543619597,,,,,,,,,,,,,,1213.9365234375,8.311436679549937e-16,1.0824478613726224e-15,1.0
9,2.5314686552852843e-17,6.54293218249903e-17,1.5025120734097681e-16,2.566510594454727e-16,3.610123996956452e-16,2.3138638206526066e-17,6.24220794157378e-17,1.4549899838172835e-16,2.4991387675032033e-16,3.5234940889512196e-16,2.6089813945329773e-17,6.76932235788148e-17,1.5601542335540944e-16,2.68207834625273e-16,3.7937839380869885e-16,2.377604695513626e-17,6.436343653296661e-17,1.5061076170213167e-16,2.600541139223557e-16,3.6882383405428736e-16,0.9193686631072575,0.9455002205842667,0.9647150278717413,0.9778331807040139,0.9866106122826673,0.9244958049188843,0.9499473365656746,0.9686408572877669,0.9813846363444753,0.9899035194966996,0.9902564985251407,0.9925990432635303,0.9944903690314085,0.9958134669550875,0.9964770422961328,0.9934448390689672,0.9957235111191666,0.9975601548746031,0.998849160725468,0.9994965322542132,,,,,,,,,,,,,,1213.9898681640625,-1.1108600992806102e-15,5.020727973147965e-16,1.0
10,2.8194535710877844e-17,7.105266383986427e-17,1.612711517387955e-16,2.7427156695021585e-16,3.8483593494448633e-16,2.493303159745999e-17,6.679086021124829e-17,1.552699110570957e-16,2.6602638655172634e-16,3.7449467177569365e-16,2.913094992460349e-17,7.372769413544058e-17,1.6793404890276209e-16,2.875551871926276e-16,4.059746237458249e-16,2.5640933298518606e-17,6.904810158070825e-17,1.6108086180264044e-16,2.7768148124205335e-16,3.931592762707026e-16,0.9155532352015352,0.943410890791483,0.9639365470043585,0.9779585326569408,0.9873483763719396,0.9195327340916768,0.9466236038179913,0.9665375558077901,0.9801302256879054,0.9892211993740856,0.9912214505174606,0.993726188238631,0.9957515959408354,0.9971664487316076,0.9978765019713752,0.9929979264334954,0.9954291030892726,0.997389965681044,0.998765742678527,0.9994579940796537,,,,,,,,,,,,,,1214.0430908203125,3.3727674054473964e-16,9.58492001080244e-16,1.0
11,3.2004829945633144e-17,7.781835924724659e-17,1.7378788854407434e-16,2.9382781103567476e-16,4.109474318384402e-16,2.700464061687569e-17,7.176966642669839e-17,1.6615077506637784e-16,2.838343281478753e-16,3.9881987624563125e-16,3.3132002008562464e-17,8.097932158418077e-17,1.814982170536531e-16,3.092611824789249e-16,4.35311890862179e-16,2.786511074695253e-17,7.439262037917711e-17,1.728155882459621e-16,2.9728487170187085e-16,4.202701757166069e-16,0.9105469011559303,0.9403082695960823,0.9622672937317254,0.9772874494442452,0.9873551720120421,0.9140360506201121,0.9429371636443105,0.9642162955072308,0.9787460312564709,0.9884710716479597,0.991477182822708,0.9941673081205455,0.9963382986624647,0.9978531697055173,0.9986176110433882,0.9925098134310231,0.9951011206479938,0.9971986384382437,0.9986710601338341,0.9994127609964285,,,,,,,,,,,,,,1214.096435546875,4.305382179412107e-16,1.0128011066802296e-15,1.0
12,3.6979986735013725e-17,8.617815575131872e-17,1.8821867734743141e-16,3.158233364890596e-16,4.398307017980856e-16,2.960067460054452e-17,7.752549988110523e-17,1.7832658274222606e-16,3.036264231843171e-16,4.255727948795314e-16,3.8485118136944946e-17,9.011171015310148e-17,1.9733959410615743e-16,3.336642564269279e-16,4.683634185227051e-16,3.056037337338171e-17,8.056328234897159e-17,1.8600555793245855e-16,3.1907883322893436e-16,4.502391037731175e-16,0.9044893043838448,0.9363433126032523,0.9599037802068935,0.9760239154185741,0.9868592294408964,0.9079961245474144,0.9388783970072487,0.9616435666854024,0.9772072095037985,0.9876427541236181,0.9912457711371643,0.9941317735095472,0.9964660444960511,0.9980918982531866,0.9989205129743264,0.9919558540195964,0.9947334787732516,0.9969832605388101,0.9985631233502757,0.9993591486538979,,,,,,,,,,,,,,1214.1497802734375,2.6207959600118213e-15,1.4367754016153707e-15,1.0
