WAVELENGTH FLUX
5.000441551208496 1.8796752977981495e-17
5.002439022064209 1.8816310836384698e-17
5.0044379234313965 1.8835651973467413e-17
5.006438732147217 1.885539842905028e-17
5.008440971374512 1.8885140535155236e-17
5.010444641113281 1.8942561758917442e-17
5.012449741363525 1.9020412689448483e-17
5.014456748962402 1.89715594024711e-17
5.016465663909912 1.8954956233215936e-17
5.018475532531738 1.9116901653541568e-17
5.020487308502197 1.9074397804946143e-17
5.022500991821289 1.9033819632816742e-17
5.0245161056518555 1.906404150367698e-17
5.0265326499938965 2.005224440299203e-17
5.02855110168457 1.9705400954703645e-17
5.030570983886719 1.9128937131454215e-17
5.032592296600342 1.9129737842287166e-17
5.034615516662598 1.9596077456226186e-17
5.036640167236328 3.6080810991285215e-17
5.038666725158691 9.676755322943751e-16
5.040694713592529 1.2344335241973032e-16
5.042724132537842 2.609733921478917e-16
5.044755458831787 5.954975800165203e-17
5.046788692474365 6.588381744166048e-17
5.048823356628418 2.373343437163595e-16
5.050859451293945 1.978575162504582e-17
5.0528974533081055 1.972194291259348e-17
5.05493688583374 1.9408353779290952e-17
5.05697774887085 1.9492587235428452e-17
5.059020519256592 4.326407720919776e-17
5.061065196990967 6.877561439336627e-17
5.063111305236816 1.2835568029266224e-16
5.065158843994141 6.329112238200897e-17
5.067208290100098 2.6561817672349946e-16
5.0692596435546875 3.789565849011636e-17
5.071312427520752 2.4458913458747826e-17
5.073366641998291 2.2314646244051114e-17
5.075422763824463 2.1157286563830195e-17
5.077480316162109 2.136521495440765e-17
5.079539775848389 2.1635559085285906e-17
5.081601142883301 1.9937552502339102e-17
5.083663463592529 6.190845359217964e-17
5.085728168487549 5.022229736093668e-17
5.087794303894043 5.1945618979350053e-17
5.089861869812012 1.9114026373732334e-17
5.091931343078613 6.133765264740374e-17
5.094002723693848 1.9356666571534964e-17
5.096075534820557 1.9212424470679192e-17
5.09814977645874 2.1010474909119589e-16
5.100225925445557 2.5177571283656347e-17
5.102303981781006 8.27490679551282e-16
5.10438346862793 1.9142921446890036e-17
5.106464862823486 1.912081256347772e-17
5.108547687530518 1.9111865777972345e-17
5.110632419586182 1.9130991848095796e-17
5.1127190589904785 1.915328105688165e-17
