WAVELENGTH FLUX
5.000441551208496 4.866490486467899e-18
5.002439022064209 4.878985049620512e-18
5.0044379234313965 4.891445698368011e-18
5.006438732147217 4.904410927289167e-18
5.008440971374512 4.929190363309112e-18
5.010444641113281 4.985993269563435e-18
5.012449741363525 5.06855003059929e-18
5.014456748962402 5.000975991998608e-18
5.016465663909912 4.9719345078724834e-18
5.018475532531738 5.1613059285879234e-18
5.020487308502197 5.098937751172344e-18
5.022500991821289 5.0377975233760994e-18
5.0245161056518555 5.058084955079575e-18
5.0265326499938965 6.229112554152014e-18
5.02855110168457 5.807803411989462e-18
5.030570983886719 5.107774108065942e-18
5.032592296600342 5.083857835015196e-18
5.034615516662598 5.691529942005333e-18
5.036640167236328 8.364470206470917e-18
5.038666725158691 9.479264164986593e-17
5.040694713592529 2.630651069239117e-17
5.042724132537842 5.989915247494953e-17
5.044755458831787 1.4554975759893244e-17
5.046788692474365 1.6255071801067356e-17
5.048823356628418 6.125714481274518e-17
5.050859451293945 5.249957769967375e-18
5.0528974533081055 5.258593535562429e-18
5.05493688583374 5.2832948030144874e-18
5.05697774887085 7.959810969268138e-18
5.059020519256592 1.0423768601465569e-17
5.061065196990967 2.016049587539562e-17
5.063111305236816 2.1153584103408408e-17
5.065158843994141 2.3095266514284757e-17
5.067208290100098 4.042384007943363e-17
5.0692596435546875 8.394869093982241e-18
5.071312427520752 7.427882550198563e-18
5.073366641998291 5.9634845935362295e-18
5.075422763824463 5.740344351493925e-18
5.077480316162109 5.7809051528304625e-18
5.079539775848389 5.867239647723847e-18
5.081601142883301 5.504274449296804e-18
5.083663463592529 1.651912935929021e-17
5.085728168487549 2.1095702967225622e-17
5.087794303894043 1.8532855892797477e-17
5.089861869812012 5.508177087426829e-18
5.091931343078613 2.3418666009652164e-17
5.094002723693848 5.4055471344661496e-18
5.096075534820557 5.4173902928863776e-18
5.09814977645874 8.72594681066761e-17
5.100225925445557 6.962386660484347e-18
5.102303981781006 1.763438686982116e-16
5.10438346862793 5.460520317205505e-18
5.106464862823486 5.4582004891776e-18
5.108547687530518 5.4716388654091365e-18
5.110632419586182 5.488080320854547e-18
5.1127190589904785 5.508829732930133e-18
5.11480712890625 5.5221047409906904e-18
5.116897106170654 5.5278664675474286e-18
5.118988513946533 5.5422461753160504e-18
5.121081829071045 5.7411367905207506e-18
5.123176574707031 6.102493949836991e-18
5.12527322769165 6.750489043737557e-18
5.127371788024902 9.293370046130203e-18
5.129471778869629 6.5674592031882545e-18
5.131573677062988 6.8680218962042975e-18
5.133677005767822 9.581069253440434e-18
5.135782241821289 6.8991375357163985e-18
5.137889385223389 5.7515245246531915e-18
5.139997959136963 5.683610101230444e-18
5.14210844039917 5.690871919828047e-18
5.144220352172852 6.016872898221933e-18
5.146334648132324 7.036799828389617e-18
5.148449897766113 5.887077093174094e-18
