col0 col1
1980.0459765525159 1.3060504050916448e-16
1981.5919522930546 1.9427765398611142e-16
1983.1379371362393 1.58532210331524e-16
1984.683931082232 1.386635474214515e-16
1987.7759462832819 1.4302827831271716e-16
1989.3219675386608 9.76121456631764e-17
1990.8679978974908 1.5350374407502425e-16
1992.4140373599319 9.605401984932094e-17
1993.9600859261448 1.5702014712008405e-16
1995.5061435962912 1.593968225724474e-16
1997.0522103705312 1.0402043756428323e-16
1998.5982862490257 1.116956445721629e-16
2000.1443712319358 1.7493251321179793e-16
2003.2365685116465 1.8794315946913638e-16
2004.782680808768 1.421045597502264e-16
2006.3288022109487 1.1737221893616892e-16
2009.42107233113 1.0284135376721689e-16
2010.9672210494527 1.8632746665460725e-16
2012.5133788734774 2.164680358920793e-16
2014.0595458033658 1.1203494330388958e-16
2015.605721839278 1.9912237393803714e-16
2017.151906981375 1.3973607600554297e-16
2018.6981012298183 1.533069990606812e-16
2020.2443045847683 1.5487618818084283e-16
2021.790517046386 1.7687203953410418e-16
2023.3367386148325 5.51462340298649e-17
2024.8829692902684 5.3888068747119396e-17
2026.4292090728545 6.952022349580831e-17
2027.9754579627524 2.149822401564745e-16
2029.5217159601223 1.1413600830126843e-16
2031.0679830651252 2.0231935439483977e-16
2032.6142592779224 1.7435801344901545e-16
2034.1605445986754 1.690238794716595e-16
2035.7068390275438 1.8035925849531975e-16
2037.2531425646896 1.7120238761318151e-16
2038.799455210273 1.642770639293236e-16
2040.3457769644556 1.6145686601829068e-16
2041.892107827398 1.4789551195794778e-16
2043.4384477992612 2.2877779603957376e-16
2044.9847968802062 2.0175137199069496e-16
2046.5311550703943 1.2939802388909728e-16
2048.077522369986 2.7488148301975636e-16
2049.623898779142 1.1385209811608516e-16
2051.170284298025 2.1742124460221774e-16
2052.716678926794 1.4586246513994192e-16
2054.2630826656105 1.5679562231464187e-16
2055.809495514636 1.3604996958336037e-16
2057.355917474032 1.9220547601064998e-16
2058.902348543958 1.9402797793752892e-16
2060.448788724576 2.6445525752229447e-16
2061.9952380160476 1.8083002063249417e-16
2063.541696418532 2.3082923369141484e-16
2065.088163932192 2.631969932189067e-16
2066.6346405571876 2.6066037242362393e-16
2068.181126293681 1.6853846227942693e-16
2069.7276211418316 2.2672621435770756e-16
2071.2741251018015 2.4851008952146717e-16
2072.8206381737523 3.5525585421959804e-16
2074.3671603578437 2.2442090578280175e-16
2075.9136916542375 2.872518438003291e-16
2077.4602320630947 2.3680892824520736e-16
2079.0067815845764 1.9733823800910523e-16
2080.5533402188435 2.8627841687541137e-16
2082.099907966058 2.0392199448834048e-16
2083.64648482638 2.3422342726014227e-16
2085.1930707999704 2.536464882780572e-16
2086.7396658869907 3.198430839155808e-16
2088.2862700876026 2.2519996418879116e-16
2089.8328834019662 3.149547408697904e-16
2091.379505830243 2.544828526302998e-16
2092.926137372595 3.813916866117686e-16
2094.472778029182 2.9976466827951967e-16
2096.0194278001654 3.6232405568839616e-16
