#WAVELENGTH FLUX ERROR
2274.5296542228743 1.9764392352556934e-14 2.575214957186052e-14
2274.5671563124574 3.31507451969016e-14 3.816832104281548e-14
2274.6046582126232 -8.984633981481524e-17 3.3708750173762e-14
2274.642159923374 -6.812683030151022e-15 2.088052936121982e-14
2274.679661444713 -1.5901708660774616e-14 2.3113665658085897e-14
2274.7171627766434 -1.87080253767841e-14 2.3043882001693404e-14
2274.754663919168 4.3630541752192817e-14 3.014186055155625e-14
2274.7921648722886 -3.132580932391042e-14 2.1893153861530547e-14
2274.8296656360094 -1.7206004721307625e-15 2.883769408706417e-14
2274.8671662103334 1.5323552346582564e-15 2.325491179017234e-14
2274.9046665952615 -2.8865951106184576e-14 2.5189385963902446e-14
2274.942166790799 1.5394174989109312e-14 1.7276397394389194e-14
2274.9796667969476 2.3636989717953916e-14 3.055228867208243e-14
2275.01716661371 -3.399033103048364e-14 1.6885164734513694e-14
2275.0546662410893 -1.90769844582786e-14 1.7131034682179094e-14
2275.092165679088 -6.029809440519446e-16 1.9462609760043277e-14
2275.12966492771 -2.7208907327734566e-14 2.341783349537902e-14
2275.167163986958 2.82057041703929e-14 3.2046729229713924e-14
2275.2046628568337 1.3232375807060992e-14 2.8177311626000935e-14
2275.2421615373405 -2.18002495938098e-14 1.9909533142134853e-14
2275.2796600284814 1.8110801080399933e-14 2.96617046788121e-14
2275.31715833026 2.2736293845359266e-14 3.409704362931053e-14
2275.354656442678 -1.7990208999699338e-15 2.6566231243400733e-14
2275.392154365739 -3.2646093131322856e-14 3.166077019696803e-14
2275.4296520994453 4.5532147659437666e-14 3.229003774974683e-14
2275.4671496438004 -1.500201736925541e-14 2.2727687990615163e-14
2275.5046469988065 -9.576134373315282e-15 2.9025772670804306e-14
2275.5421441644676 -1.829882884216323e-14 1.5858813218259764e-14
2275.579641140785 -9.722134901334663e-15 2.7215463362746314e-14
2275.617137927763 -6.10037321425636e-15 1.915799807748579e-14
2275.6546345254033 1.164019357654698e-14 2.0822682093120035e-14
2275.6921309337094 -7.384762729979472e-15 2.2363104681326178e-14
2275.7296271526843 -2.7086497937845637e-15 2.4497507429728504e-14
2275.76712318233 6.146777914271687e-15 1.66231893023892e-14
2275.804619022651 1.3683618210150617e-14 1.5305858251830895e-14
2275.8421146736487 2.1459649175389374e-14 2.2828147792225417e-14
2275.879610135326 -2.1577410471980245e-14 2.5683717780051844e-14
2275.917105407687 -2.936878035686083e-14 2.6360979913687965e-14
2275.954600490733 -1.1249897735111144e-14 2.3055745545152648e-14
2275.9920953844685 2.7419040955355307e-14 2.7545081151972642e-14
2276.029590088895 2.2485910906150895e-14 2.9344805936321744e-14
2276.0670846040157 -8.337538423336052e-15 1.411376017549119e-14
2276.1045789298337 -2.503877164741937e-14 1.691256963848916e-14
2276.142073066352 2.1673028633263994e-14 1.7523260064668776e-14
2276.1795670135734 2.2261237110957587e-14 1.7157226634974092e-14
2276.2170607715007 -1.6024113391982335e-14 1.9840608377150876e-14
2276.2545543401366 3.009962410067436e-14 1.907357599769885e-14
2276.292047719484 -2.4708913300836022e-14 2.3610902797244378e-14
2276.3295409095454 1.797699867385396e-14 2.12192934122106e-14
2276.367033910325 -1.8281537511577982e-14 2.2599264243284255e-14
2276.4045267218244 2.1291608003049488e-14 2.4932814601981435e-14
2276.4420193440465 8.488616913874224e-15 1.8612837508237556e-14
2276.479511776995 1.6727535291161458e-14 2.463464714608666e-14
2276.5170040206717 -1.746834691869828e-14 1.9958676299668653e-14
2276.554496075081 2.124614774477035e-14 2.2902832381250723e-14
2276.5919879402236 -2.798106764464927e-14 2.493296706791194e-14
2276.6294796161046 1.5757574146338035e-14 2.500500044381234e-14
2276.6669711027257 1.3020848810242017e-15 2.5789542688350008e-14
2276.704462400089 8.535480705746962e-15 1.789599691310803e-14
2276.7419535081995 -1.0195676293793705e-14 1.8137194627036377e-14
2276.779444427058 1.3165597423565358e-14 2.2310119382343632e-14
2276.816935156669 -1.567997745804007e-14 2.0131925030568258e-14
2276.854425697034 -3.526982850741989e-14 1.5007079238148202e-14
2276.8919160481564 1.9181397786170165e-15 1.7764456084531227e-14
2276.9294062100394 -4.048478335883475e-14 1.657734110302022e-14
2276.9668961826856 -2.3627950182340818e-14 1.8768278218454088e-14
2277.0043859660973 2.897255528479421e-14 2.0869146932474616e-14
2277.041875560278 1.2594423625473996e-14 2.8427479418840704e-14
2277.079364965231 9.575318680587076e-15 2.4268008934867635e-14
2277.1168541809584 2.072514497869428e-15 2.047600336627011e-14
2277.154343207463 8.909828441445306e-14 3.3755614812667686e-14
2277.1918320447485 8.492906627532298e-14 3.557116556060329e-14
2277.2293206928175 1.4690966542232897e-13 3.8941553703441406e-14
2277.2668091516716 1.539155359154415e-13 4.222663546409565e-14
2277.304297421315 2.453213684711769e-13 4.8768704596609605e-14
2277.34178550175 1.515441689237812e-13 3.6909470841001504e-14
2277.3792733929804 1.7082239485780026e-13 4.155572777162983e-14
2277.416761095008 2.783895076269305e-13 5.5133323714805574e-14
2277.454248607836 2.8555353611195433e-13 4.924846744606623e-14
2277.4917359314672 3.6456246550221894e-13 5.58123730879604e-14
2277.529223065905 2.448802337122469e-13 4.923771690389968e-14
2277.566710011151 3.121586648023589e-13 5.275085720340446e-14
2277.60419676721 3.2225285807874204e-13 5.2287055842805893e-14
2277.6416833340827 2.845992484647869e-13 5.691476614002114e-14
2277.6791697117733 3.735879064870745e-13 6.217070722168774e-14
2277.7166559002844 2.3327165394639027e-13 4.993254480679596e-14
