hostname_nn,letter_nn,Event,ProposalCategory,ProposalID,Cycle,Observation,Status,ObservingMode,GratingGrism,Subarray,ReadoutPattern,Groups,StartTime,EndTime,Hours,LastName,ProprietaryPeriod,EquatorialCoordinates,sy_kmag,sy_dist,st_teff,st_mass,st_rad,st_logg,pl_orbper,pl_orbsmax,pl_orbincl,pl_massj,pl_radj,pl_g_SI,pl_dens_cgs,pl_Teq_K,pl_trandep,pl_trandur,pl_TSM_K,pl_ESM_3um,PlanWindow,st_met,st_prot,
TOI-3884,b,Transit,GO,5799,3,3,Executed,BOTS,G395H,SUB2048,NRSRAPID,70,5/24/25 4:48,5/24/25 11:36,7.23,Garcia,12,12 06 17.4371 +12 30 24.88,10.24,43.14,3192,0.29,0.302,4.921,4.5445697,0.036,89.96,0.077,0.535,7.64,0.76,447.4,3.1,1.6,363.45,0.23,X,0.14,,
TOI-3984 A,b,Transit,GO,3171,2,2,Executed,BOTS,PRISM,SUB512,NRSRAPID,4,6/6/24 10:42,6/6/24 17:51,7.71,Kanodia,0,15 05 20.9784 +36 47 12.45,11.052,108.88,3449,0.49,0.465,4.79,4.3533236,0.041,89.5,0.14,0.675,8.71,0.69,560.1,2.2,2,146.03,0.65,X,0.18,50,
TOI-4010,d,Transit,GO,5894,3,3,Executed,BOTS,PRISM,SUB512,NRSRAPID,5,10/5/24 12:05,10/5/24 21:25,10.06,Kunimoto,12,01 20 51.5598 +66 04 19.91,10.157,177.5,4924,0.88,0.855,4.495,14.7090131,0.113,89,0.12,0.568,10.56,0.99,653.2,0.5,3.6,52.78,0.34,X,0.37,37.7,
TOI-421,b,Transit,GO,1935,1,2,Executed,BOTS,G395M,SUB2048,NRSRAPID,4,9/10/23 10:01,9/10/23 15:06,5.53,Kempton,12,05 27 24.8259 -14 16 37.05,8.071,74.8,5325,0.842,0.866,4.48,5.197576,0.056,85.68,0.022,0.236,11.15,2.53,1012.5,0,1.1,89.72,1.42,X,-0.03,39.6,
TOI-431,b,Eclipse,GO,4818,3,19,Executed,LRS,X,SLITLESSPRISM,FASTR1,8,2/1/25 8:53,2/1/25 14:00,5.4,Weiner Mansfield,12,05 33 4.6005 -26 43 28.27,6.723,32.57,4850,0.78,0.731,4.6,0.490052,0.011,84.3,0.01,0.123,18.14,7.9,1881,0,1,21.04,9.33,X,0.2,30.5,
TOI-4336 A,b,Transit,GO,4711,3,1,Scheduled,SOSS,X,SUBSTRIP96,NISRAPID,9,6/28/25 3:18,6/28/25 10:08,8.59,Hu,12,13 44 25.4773 -40 20 15.52,8.632,22.55,3331.5,0.331,0.327,4.912,16.3363503,0.087,89.55,-1,0.186,-1,-1,311.2,0.4,2,-1,0,X,-0.21,,
TOI-451,d,Transit,GO,5959,3,7,Executed,BOTS,G395H,SUB2048,NRSRAPID,10,11/27/24 12:47,11/27/24 21:53,9.77,Feinstein,0,04 11 51.9319 -37 56 23.02,9.19,123.74,5550,0.95,0.879,4.56,16.364909,0.121,89.25,-1,0.357,-1,-1,721.9,0.2,4.1,-1,0.31,X,-999,5.1,
TOI-500,b,Eclipse,GO,4818,3,7,Executed,LRS,X,SLITLESSPRISM,FASTR1,18,2/18/25 7:01,2/18/25 12:14,5.3,Weiner Mansfield,12,07 06 13.9753 -47 35 13.87,7.715,47.39,4590,0.81,0.75,4.618,0.5481579,0.012,82.09,0.004,0.104,11.7,6.02,1725.2,0,1,15.24,3.49,X,0.12,,
TOI-5205,b,Transit,GO,3171,2,17,Executed,BOTS,PRISM,SUB512,NRSRAPID,4,10/11/23 19:22,10/12/23 1:47,6.84,Kanodia,0,20 55 4.9164 +24 21 38.71,11.006,86.45,3346,0.392,0.397,4.835,1.6307046,0.02,88.21,1.08,1.011,29.97,1.59,720.7,6.8,1.3,114.6,12.19,X,0,,
TOI-5293 A,b,Transit,GO,3171,2,11,Executed,BOTS,PRISM,SUB512,NRSRAPID,5,6/27/24 11:04,6/27/24 18:09,7.44,Kanodia,0,23 43 18.8831 -02 02 42.34,11.639,162.23,3639,0.54,0.51,4.77,2.930363,0.034,88.8,0.54,1.061,13.61,0.69,679.6,5.1,1.8,113.06,3.61,X,-0.03,20.6,
TOI-561,b,PhaseC,GO,3860,2,1,Executed,BOTS,G395H,SUB2048,NRSRAPID,6,5/1/24 21:59,5/3/24 12:35,44.22,Teske,12,09 52 44.4364 +06 12 57.97,8.394,85.8,5357,0.805,0.843,4.5,0.4465697,0.011,87.1,0.007,0.127,11.75,4.95,2303.6,0,1.3,14.33,4.85,X,-0.4,,
TOI-6255,b,PhaseC,GO,8864,4,5,Implementation,LRS,X,SLITLESSPRISM,FASTR1,13,X,X,13.56,Dang,12,22 06 0.6662 +39 18 2.90,8.071,20.32,3422,0.353,0.37,4.853,0.2381824,0.005,74.4,0.005,0.091,15.5,9.11,1375.9,0,0.5,28.08,7.85,"Sep 11, 2026 - Sep 11, 2026 (2026.254 - 2026.254)",-0.14,,
TOI-674,b,Transit,GO,9095,4,4,Implementation,LRS,X,SLITLESSPRISM,FASTR1,87,X,X,4.78,Piaulet Ghorayeb,12,10 58 20.9850 -36 51 29.14,9.469,46.09,3514,0.42,0.42,4.81,1.9771642,0.025,87.21,0.074,0.469,9.56,1.09,694.5,1.4,1.1,291.62,3.46,"Jun 4, 2026 - Jun 4, 2026 (2026.155 - 2026.155)",0.17,52,
TOI-677,b,Transit,GO,9025,4,5,Implementation,BOTS,G395H,SUB2048,NRSRAPID,20,X,X,8.73,Gao,12,09 36 28.6865 -50 27 47.80,8.429,141.81,6295,1.181,1.28,4.291,11.2365992,0.104,86.7,1.236,1.17,25.59,1.17,1065.2,0.9,2.5,72.37,13.23,"Mar 20, 2026 - Mar 21, 2026 (2026.079 - 2026.080)",0,,
TOI-6894,b,Transit,GO,8696,4,1,Implementation,BOTS,PRISM,SUB512,NRSRAPID,10,X,X,6.79,Zhang,12,11 33 52.7495 +12 27 3.58,12.207,73.81,3070,0.207,0.225,5.033,3.3707011,0.026,89.58,0.168,0.846,6.65,0.42,435,16.7,1.5,467.71,0.34,"Jan 10, 2026 - Jan 11, 2026 (2026.010 - 2026.011)",0.14,,
TOI-700,e,Transit,GO,6193,3,2,Executed,SOSS,X,SUBSTRIP256,NISRAPID,4,4/6/25 17:09,4/7/25 2:38,10.81,Pass,12,06 28 22.9720 -65 34 43.01,8.634,31.13,3470.5,0.415,0.42,4.624,27.8097349,0.134,89.6,-1,0.085,-1,-1,296.4,0,2.9,-1,0,X,-0.07,54,
TOI-776,c,Transit,GO,2512,1,4,Executed,BOTS,G395H,SUB2048,NRSRAPID,7,5/27/23 11:23,5/27/23 19:22,9.55,Batalha,0,11 54 18.7193 -37 33 12.08,7.615,27.17,3717,0.544,0.538,4.731,15.6653276,0.1,89.51,0.019,0.183,16.31,4.78,415.6,0.1,3,62.4,0.01,X,-0.2,34.4,
TOI-824,b,Eclipse,GO,4102,2,1,Executed,BOTS,G395M,SUB2048,NRSRAPID,5,7/31/24 22:08,8/1/24 4:30,6.63,Roy,12,14 48 39.7097 -57 35 20.00,8.432,63.93,4600,0.71,0.695,4.605,1.3929765,0.022,83.65,0.058,0.262,23.94,4.88,1253.3,0.2,1.1,75.73,6.79,X,-0.09,,
TOI-836,c,Transit,GO,2512,1,8,Executed,BOTS,G395H,SUB2048,NRSRAPID,3,2/16/23 11:57,2/16/23 20:01,8.91,Batalha,0,15 00 19.1712 -24 27 15.11,6.804,27.5,4514,0.678,0.678,4.662,8.5954646,0.075,88.7,0.03,0.233,15.75,3.61,654.2,0.1,2.5,119,0.49,X,-0.28,22,
TOI-849,b,PhaseC,SURVEY,2765,1,3,Withdrawn,BOTS,PRISM,SUB512,NRSRAPID,3,X,X,45.87,Valenti,0,01 54 51.7910 -29 25 18.15,10.418,225.73,5311,0.95,0.92,4.475,0.765548,0.016,86.8,0.127,0.316,36.13,6.12,1957.9,0.1,1.5,21.93,6.84,X,0.19,,
TRAPPIST-1,b,Eclipse,GTO,1279,1,3,Executed,F1280W,X,FULL,FASTR1,15,7/22/23 23:02,7/23/23 4:03,5.35,Lagage,12,23 06 29.3600 -05 02 29.20,10.296,-1,2559,0.089,0.117,5.276,1.5108704,0.012,89.41,0.003,0.1,9.15,4.92,393,0.8,0.6,53.2,0.02,X,0.04,1.4,
TrES-4,b,Transit,GO,3838,2,1,Executed,BOTS,G395H,SUB2048,NRSRAPID,80,6/17/24 0:32,6/17/24 9:08,9.91,Kirk,12,17 53 13.0407 +37 12 42.26,10.33,515.98,6200,1.394,1.816,4.062,3.553929,0.051,82.81,0.887,1.791,7.84,0.23,1785.5,1,3.6,125.52,36.82,X,0.14,,
V1298 Tau,c,Transit,GO,2149,1,1,Executed,BOTS,G395H,SUB2048,NRSRAPID,4,1/14/23 17:49,1/14/23 18:31,17.12,Desert,12,04 05 19.5970 +20 09 25.31,8.094,108.2,5050,1.101,1.33,-1,8.24925,0.083,88,0.24,0.46,32.15,3.74,973,0,4.7,22.36,2.07,X,0.1,2.9,
WASP-103,b,PhaseC,GO,5022,3,1,Flight Ready,BOTS,PRISM,SUB512,NRSRAPID,5,X,X,35.46,Barros,12,16 37 15.5766 +07 11 0.11,10.767,375.65,6110,1.22,1.436,4.22,0.9255454,0.02,86.3,1.48,1.528,17.97,0.63,2505.9,1.2,2.6,85.74,79.99,"Jul 6, 2025 - Jul 6, 2025 (2025.187 - 2025.187)",0.06,,
WASP-107,b,Transit,GTO,1185,1,8,Executed,GTS,GRISMR+F322W2,SUBGRISM256,BRIGHT2,7,1/14/23 0:41,1/14/23 9:12,9.44,Greene,12,12 33 32.7426 -10 08 46.37,8.637,64.74,4430,0.69,0.66,4.5,5.7214886,0.055,89.56,0.12,0.944,3.8,0.22,738,2.2,2.7,930.94,8.08,X,0.02,17,
WASP-12,b,Transit,GO,5924,3,13,Flight Ready,BOTS,PRISM,SUB512,NRSRAPID,3,X,X,8.77,Sing,0,06 30 32.7966 +29 40 20.26,10.188,427.25,6300,1.35,1.638,4.134,1.0914203,0.023,83.2,1.41,1.825,12,0.35,2552.6,1.4,3,156.73,113.89,"Mar 10, 2026 - Mar 10, 2026 (2026.069 - 2026.069)",0.3,,
WASP-121,b,PhaseC,GTO,1201,1,1,Executed,SOSS,X,SUBSTRIP256,NISRAPID,6,10/26/23 16:33,10/28/23 6:45,43.85,Lafreniere,12,07 10 24.0555 -39 05 50.17,9.374,269.9,6459,1.353,1.458,4.242,1.274925,0.025,88.04,1.17,1.8,10.24,0.3,2357.9,1.7,2.9,307.36,165.69,X,0.13,1.1,
WASP-127,b,Transit,GO,2437,1,1,Executed,BOTS,G395H,SUB2048,NRSRAPID,14,5/8/23 7:22,5/8/23 19:03,13.11,Pelletier,12,10 42 14.1035 -03 50 6.00,8.641,159.51,5620,1.08,1.369,4.18,4.178062,0.05,88.2,0.172,1.311,2.84,0.12,1415,1,4.3,769.49,44.07,X,-0.18,,
WASP-15,b,Transit,GO,3838,2,4,Executed,BOTS,G395H,SUB2048,NRSRAPID,44,1/26/24 22:17,1/27/24 7:32,10.04,Kirk,12,13 55 42.7227 -32 09 34.96,9.693,282.09,6300,1.18,1.477,4.35,3.7520991,0.05,85.72,0.546,1.409,7.8,0.3,1652.8,1,3.7,186.13,36.49,X,-0.17,,
WASP-166,b,Transit,GO,2062,1,4,Executed,SOSS,X,SUBSTRIP96,NISRAPID,2,12/31/23 2:28,12/31/23 12:59,11.5,Mayo,12,09 39 30.0251 -20 58 56.71,8.032,114.17,6050,1.19,1.22,4.34,5.44354,0.064,88,0.101,0.641,6.97,0.58,1272.7,0.3,3.6,229.7,11,X,0.19,12.1,
WASP-17,b,Eclipse,GTO,1353,1,4,Executed,BOTS,G395H,SUB2048,NRSRAPID,66,4/2/23 11:35,4/2/23 22:41,12.42,Lewis,12,15 59 50.9395 -28 03 42.46,10.224,405.91,6550,1.306,1.572,4.176,3.7354417,0.051,86.83,0.49,1.892,3.88,0.11,1748.8,1.7,4.4,367.69,50.36,X,-0.19,,
WASP-178,b,Transit,GO,2055,1,1,Executed,BOTS,G395H,SUB2048,NRSRAPID,45,3/7/23 6:46,3/7/23 15:01,9.11,Lothringer,12,15 09 4.8930 -42 42 17.79,9.703,427.68,9360,2,1.76,4.31,3.3448386,0.055,85.08,1.535,1.856,12.62,0.36,2549.7,1.2,3.5,163.92,74.69,X,0.08,,
WASP-18,b,Transit,COM,1442,0,2,Withdrawn,GTS,GRISMR+F322W2,SUBGRISM128,BRIGHT2,11,X,X,6.8,Schlawin,12,01 37 25.0709 -45 40 40.06,8.131,123.48,6400,1.274,1.26,4.366,0.9414524,0.02,85,10.39,1.191,207.61,9.33,2432.6,0.9,2.2,24.55,186.65,X,0.05,,
WASP-189,b,Transit,GO,3279,2,1,Executed,SOSS,X,SUBSTRIP256,NISRAPID,7,3/5/24 22:44,3/6/24 10:00,13.19,Hoeijmakers,0,15 02 44.8157 -03 01 53.35,6.06,99.73,8000,2.03,2.36,3.9,2.7240319,0.051,84.03,1.99,1.619,21.52,0.71,2636.4,0,4.3,258.16,222.32,X,0.29,,
WASP-19,b,Transit,GO,5924,3,12,Executed,BOTS,PRISM,SUB512,NRSRAPID,4,3/22/25 10:21,3/22/25 16:08,5.93,Sing,0,09 53 40.0766 -45 39 33.06,10.481,268.32,5503,0.965,1.004,4.401,0.7888391,0.017,79.24,1.147,1.394,16.74,0.64,2069.6,2.1,1.6,161.73,117.77,X,0.15,10.5,
WASP-193,b,Transit,GO,9101,4,5,Implementation,BOTS,G140H,SUB2048,NRSRAPID,26,X,X,12.24,Radica,12,10 57 23.8522 -29 59 49.67,10.745,362.09,6105,1.059,1.19,4.336,6.2462799,0.068,88.49,0.139,1.332,2.22,0.09,1235.3,1.3,4.3,438.74,12.7,"May 25, 2026 - May 25, 2026 (2026.145 - 2026.145)",-0.06,,
WASP-25,b,Transit,GO,9025,4,1,Implementation,BOTS,G395H,SUB2048,NRSRAPID,99,X,X,8.89,Gao,12,13 01 26.3760 -27 31 19.92,10.174,211.42,5736,1,0.92,4.505,3.7648327,0.047,88,0.58,1.22,11.05,0.48,1219.3,1.9,2.8,173.47,24.21,"May 28, 2026 - May 28, 2026 (2026.148 - 2026.148)",-0.05,,
WASP-39,b,Transit,ERS,1366,1,4,Executed,BOTS,PRISM,SUB512,NRSRAPID,5,7/10/22 14:05,7/10/22 23:38,10.52,Batalha,0,14 29 18.3955 -03 26 40.20,10.202,213.98,5326.6,0.918,1.013,4.389,4.0552804,0.049,87.76,0.28,1.279,4.85,0.2,1173.1,2.2,2.8,324.05,20.93,X,-0.03,,
WASP-43,b,PhaseC,ERS,1366,1,11,Executed,LRS,X,SLITLESSPRISM,FASTR1,64,11/30/22 23:36,12/2/22 3:25,31.82,Batalha,0,10 19 37.9649 -09 48 23.19,9.267,86.75,4400,0.65,0.667,4.573,0.8134741,0.015,82.11,1.899,1.006,53.19,2.83,1433.1,2.6,1.2,100.86,124.96,X,-0.05,15.6,
WASP-47,e,Eclipse,GO,3615,2,1,Executed,BOTS,G395H,SUB2048,NRSRAPID,44,6/13/24 23:21,6/14/24 7:00,8.28,Zieba,12,22 04 48.7426 -12 01 8.66,10.192,264.78,5565,1.04,1.137,4.34,0.7896035,0.017,86.46,0.028,0.161,30.85,10.23,2193.6,0,1.9,10.51,1.58,X,0.38,32.5,
WASP-52,b,Eclipse,GTO,1224,1,4,Executed,BOTS,PRISM,SUB512S,NRSRAPID,3,6/10/23 8:41,6/10/23 14:34,6.59,Birkmann,12,23 13 58.7501 +08 45 39.86,10.086,174.82,5000,0.87,0.79,4.503,1.7497812,0.027,85.35,0.46,1.27,8.08,0.34,1300.2,2.9,1.9,371.56,57.4,X,0.03,,
WASP-6,b,Transit,GO,5924,3,11,Skipped,BOTS,PRISM,SUB512,NRSRAPID,4,X,X,8.19,Sing,0,23 12 37.7368 -22 40 26.27,10.325,197.12,5450,0.88,0.818,4.581,3.3610023,0.042,88.47,0.485,1.22,9.24,0.41,1158.2,2.1,2.6,232.67,25.42,"Oct 16, 2025 - Oct 16, 2025 (2025.289 - 2025.289)",-0.2,23.8,
WASP-63,b,Transit,GO,2113,1,5,Executed,SOSS,X,SUBSTRIP256,NISRAPID,4,9/28/23 18:01,9/29/23 6:11,13.8,Espinoza,12,06 17 20.7248 -38 19 24.19,9.393,290.68,5560,1.28,1.86,4.01,4.378082,0.056,87.8,0.37,1.382,5.49,0.21,1548.1,0.6,5.4,175.92,25.2,X,0.08,,
WASP-69,b,Eclipse,GTO,1177,1,3,Executed,LRS,X,SLITLESSPRISM,FASTR1,16,5/2/23 21:27,5/3/23 5:00,8.3,Greene,12,21 00 6.2319 -05 05 41.49,7.459,49.96,4715,0.826,0.813,4.535,3.8681389,0.045,86.71,0.26,1.057,6.6,0.33,963.7,1.8,2.2,889.27,41.77,X,0.14,23.1,
WASP-76,b,Transit,GO,5924,3,14,Flight Ready,SOSS,X,SUBSTRIP96,NISRAPID,4,X,X,9.88,Sing,0,01 46 31.8576 +02 42 2.03,8.243,194.46,6264.1,1.46,1.737,4.128,1.8098813,0.033,88.25,0.91,1.85,7.54,0.22,2191.5,1.2,3.8,472.58,183.84,"Aug 21, 2025 - Aug 21, 2025 (2025.233 - 2025.233)",0.23,,
WASP-77 A,b,Eclipse,GTO,1274,1,10,Executed,BOTS,G395H,SUB2048,NRSRAPID,17,8/24/22 21:01,8/25/22 4:37,8.47,Lunine,12,02 28 37.2266 -07 03 38.37,8.405,105.17,5500,1.002,0.955,4.33,1.3600293,0.024,89.4,1.76,1.21,34.07,1.51,1673.7,1.7,2.2,160.44,147.22,X,0,15.4,
WASP-80,b,Transit,GTO,1185,1,103,Executed,GTS,GRISMR+F444W,SUBGRISM256,BRIGHT2,12,10/6/23 8:53,10/6/23 16:13,7.95,Greene,12,20 12 40.0319 -02 08 39.97,8.351,49.79,4145,0.57,0.571,4.668,3.0678527,0.034,89.02,0.55,0.969,16.6,0.92,814.3,2.9,2.1,367.92,25.26,X,-0.14,,
WASP-84,b,Transit,GO,9025,4,3,Implementation,BOTS,G395H,SUB2048,NRSRAPID,30,X,X,9,Gao,12,08 44 25.7032 +01 51 36.11,8.855,100.59,5307,0.842,0.748,4.4,8.5234963,0.077,88.37,0.693,0.956,21.49,1.2,796.1,1.7,2.8,126.65,6.76,"Nov 29, 2026 - Nov 30, 2026 (2026.333 - 2026.334)",0,14.4,
WASP-94 A,b,Transit,GO,3154,2,1,Executed,BOTS,G395H,SUB2048,NRSRAPID,21,6/7/24 13:44,6/7/24 22:49,10.35,Ahrer,12,20 55 7.9774 -34 08 8.70,8.874,211.21,6153,1.45,1.62,4.181,3.9501954,0.055,88.7,0.456,1.72,4.37,0.14,1607.3,1.2,4.5,478.31,62.93,X,0.26,,
WASP-96,b,Transit,COM,2734,0,2,Executed,SOSS,X,SUBSTRIP256,NISRAPID,14,6/21/22 2:41,6/21/22 10:48,7.51,Pontoppidan,12,00 04 11.1377 -47 21 38.32,10.914,352.46,5540,1.06,1.05,4.42,3.4252567,0.045,85.6,0.485,1.2,9.55,0.43,1285.4,1.4,2.4,113.63,16.28,X,0.14,,
WD 1856+534,b,Transit,GO,2358,1,2,Executed,BOTS,PRISM,SUB2048,NRSRAPID,33,8/31/22 0:46,8/31/22 1:38,3.33,MacDonald,12,18 57 39.3437 +53 30 33.30,15.548,24.74,5245,0.518,0.013,6.176,1.4079387,0.02,88.78,13.8,0.928,454.37,26.2,202.7,52.6,0.2,221.31,0,X,-999,,
