hostname_nn,letter_nn,Event,ProposalCategory,ProposalID,Cycle,Observation,Status,ObservingMode,GratingGrism,Subarray,ReadoutPattern,Groups,StartTime,EndTime,Hours,LastName,ProprietaryPeriod,EquatorialCoordinates,sy_kmag,sy_dist,st_teff,st_mass,st_rad,st_logg,pl_orbper,pl_orbsmax,pl_orbincl,pl_massj,pl_radj,pl_g_SI,pl_dens_cgs,pl_Teq_K,pl_trandep,pl_trandur,pl_TSM_K,pl_ESM_3um,PlanWindow,st_met,st_prot,
KELT-8,b,Eclipse,GO,5687,3,1,Implementation,LRS,X,SLITLESSPRISM,FASTR1,85,X,X,9.44,Valentine,12,18 53 13.3242 +24 07 38.58,9.177,197.57,5754,1.114,1.46,4.08,3.24406,0.046,82.65,0.858,1.86,7.03,0.2,1569.9,1.3,3.6,336.23,81.09,"Jul 28, 2025 - Jul 28, 2025 (2025.209 - 2025.209)",0.27,,
KELT-9,b,PhaseC,GO,7255,4,1,Implementation,SOSS,X,SUBSTRIP96,NISRAPID,3,X,X,27.24,Stevenson,12,20 31 26.3534 +39 56 19.77,7.482,204.46,10170,2.52,2.362,4.093,1.4811187,0.035,86.79,2.66,1.815,22.9,0.68,4050.7,0.7,4,216.71,232.28,"Nov 5, 2026 - Nov 5, 2026 (2026.309 - 2026.309)",-0.03,,
Kepler-12,b,Transit,GO,3969,2,1,Executed,BOTS,PRISM,SUB512,NRSRAPID,5,7/1/24 22:32,7/2/24 11:13,13.93,Espinoza,12,19 04 58.4270 +50 02 25.32,12.066,881.39,5953,1.106,1.483,4.175,4.437963,0.055,89.26,0.432,1.695,4.26,0.13,1491.9,1.7,4.7,123.2,14.07,X,0.07,,
Kepler-167,e,Transit,GO,6491,3,1,Executed,BOTS,PRISM,SUB512,NRSRAPID,6,10/24/24 14:24,10/27/24 3:59,70.62,Cassese,12,19 30 38.0262 +38 20 43.44,11.832,341.91,4876,0.776,0.746,4.576,1071.23205,1.881,89.96,1.01,0.905,34.96,2.07,148.1,1.9,16.2,3.5,0,X,0.05,,
Kepler-51,d,Transit,GO,2571,1,1,Executed,BOTS,PRISM,SUB512,NRSRAPID,12,6/26/23 2:10,6/26/23 17:46,18.3,Libby-Roberts,12,19 45 55.1430 +49 56 15.54,13.197,783.83,5770,1.04,0.881,4.51,130.1780296,0.512,89.95,0.02,0.892,0.72,0.04,364.9,1.2,8.4,158.49,0,X,0.01,8.2,
Kepler-86,b,Transit,GO,3235,2,1,Executed,BOTS,PRISM,SUB512,NRSRAPID,6,9/10/24 0:35,9/10/24 20:53,23.75,Fortney,12,19 19 3.2691 +51 57 45.66,11.116,343.86,5734,0.97,0.95,4.47,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,X,-999,,
L 168-9,b,Transit,COM,1033,0,5,Executed,LRS,X,SLITLESSPRISM,FASTR1,9,5/29/22 6:44,5/29/22 12:18,4.97,Kendrew,0,23 20 6.8620 -60 03 56.63,7.082,25.15,3800,0.62,0.6,4.359,1.4015222,0.021,85.5,0.014,0.13,22.73,9.33,982.9,0.1,1.1,11.71,2.18,X,0.04,29,
L 231-32,d,Transit,GO,4098,2,15,Executed,SOSS,X,SUBSTRIP256,NISRAPID,3,2/6/24 6:29,2/6/24 13:17,7.2,Benneke,0,04 33 39.8638 -51 57 26.75,8.251,22.48,3506,0.39,0.38,4.87,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,X,-999,,
L 98-59,d,Transit,GTO,1224,1,1,Executed,BOTS,G395H,SUB2048,NRSRAPID,6,6/25/23 12:48,6/25/23 17:43,5.34,Birkmann,12,08 18 7.8951 -68 18 52.25,7.101,10.62,3412,0.312,0.312,4.94,7.4507337,0.051,88.45,0.007,0.14,10.11,3.86,408.5,0.2,0.8,43.1,0.02,X,-0.5,80,
LHS 1140,b,Transit,GO,2334,1,1,Executed,BOTS,G395H,SUB2048,NRSRAPID,15,7/30/23 13:37,7/30/23 20:16,7.26,Damiano,12,00 44 59.6717 -15 16 26.79,8.821,14.99,3131,0.179,0.214,5.049,24.737165,0.094,89.89,0.02,0.154,24.48,8.5,227.5,0.5,2.1,69.87,0,X,-0.24,131,
LHS 1478,b,Eclipse,GO,3730,2,13,Executed,F1500W,X,SUB256,FASTR1,39,11/18/23 18:55,11/18/23 23:23,4.58,Diamond-Lowe,12,02 57 21.4288 +76 33 4.86,8.767,18.23,3397.5,0.236,0.253,4.921,1.9495391,0.018,87.45,0.007,0.118,15.04,6.85,606.3,0.2,0.8,25.46,0.35,X,-0.13,,
LHS 3844,b,Eclipse,GO,1846,1,1,Executed,LRS,X,SLITLESSPRISM,FASTR1,30,6/19/23 2:52,6/19/23 6:06,4.08,Kreidberg,12,22 41 59.0890 -69 10 19.59,9.145,14.88,3036,0.151,0.189,5.06,0.4629294,0.006,88.5,-1,0.119,-1,-1,807,0.4,0.5,-1,4.03,X,-999,,
LHS 475,b,Transit,GO,1981,1,45,Failed,BOTS,G395H,SUB2048,NRSRAPID,9,6/21/23 22:52,6/22/23 0:14,4.64,Stevenson,0,19 20 57.1077 -82 33 35.24,7.686,12.48,3289,0.268,0.286,4.967,2.029101,0.02,87.29,-1,0.088,-1,-1,594.3,0.1,0.7,-1,0.24,X,-999,79.3,
LP 791-18,c,Transit,GTO,1201,1,401,Executed,BOTS,PRISM,SUB512,NRSRAPID,6,6/17/23 16:21,6/17/23 21:15,5.22,Lafreniere,12,11 02 45.7162 -16 24 23.20,10.644,26.49,2960,0.139,0.171,5.115,4.9899134,0.03,89.55,0.022,0.218,13.38,3.29,343.9,1.9,1.2,183.37,0.01,X,-0.09,,
LP 890-9,b,Transit,GO,7073,4,47,Implementation,BOTS,PRISM,SUB512,NRSRAPID,5,X,X,5.45,Lustig-Yaeger,0,04 16 31.1618 -28 18 52.95,11.344,32.43,2868.5,0.118,0.156,5.143,2.7299037,0.019,89.67,0.042,0.119,82.9,37.22,398.4,0.7,0.8,2.49,0.01,"Aug 12, 2025 - Aug 12, 2025 (2025.224 - 2025.224)",-0.03,,
LTT 1445 A,b,Eclipse,GO,2708,1,1,Executed,LRS,X,SLITLESSPRISM,FASTR1,5,8/27/22 16:01,8/27/22 23:25,8,Berta-Thompson,12,03 01 50.9800 -16 35 40.32,6.496,6.87,3340,0.256,0.276,4.967,5.3587657,0.038,89.4,0.008,0.121,15.3,6.75,433.6,0.2,1.4,44.25,0.05,X,-0.34,85,
LTT 3780,c,Transit,GO,3557,2,6,Executed,LRS,X,SLITLESSPRISM,FASTR1,13,12/9/24 13:41,12/9/24 18:52,5.24,Madhusudhan,12,10 18 34.7652 -11 43 4.21,8.204,21.98,3344.5,0.381,0.377,4.873,12.252202,0.076,89.13,0.024,0.208,15.54,4,358.8,0.3,1.5,99.86,0,X,0.09,104,
LTT 9779,b,PhaseC,GTO,1201,1,2,Executed,SOSS,X,SUBSTRIP256,NISRAPID,2,7/7/22 0:10,7/7/22 23:30,26.51,Lafreniere,12,23 54 40.5304 -37 37 41.61,8.016,80.44,5443,1.02,0.949,4.386,0.7920642,0.017,76.39,0.092,0.421,14.75,1.87,1973.2,0.1,0.5,184.25,33.89,X,0.27,45,
NGTS-10,b,PhaseC,GO,2158,1,1,Executed,BOTS,PRISM,SUB512,NRSRAPID,6,3/11/23 1:57,3/12/23 0:03,25.14,Parmentier,12,06 07 29.3400 -25 35 41.62,11.728,-1,4600,0.696,0.697,4.595,0.7668944,0.014,-1,2.162,1.205,42.2,1.87,1548.6,0,1.1,48.51,62.5,X,-0.02,17.3,
NGTS-11,b,Transit,GO,7982,4,4,Implementation,BOTS,G395M,SUB2048,NRSRAPID,37,X,X,9.31,Claringbold,12,01 34 5.1361 -14 25 9.15,10.315,190.42,5063,0.862,0.831,4.515,35.4557945,0.201,89.16,0.344,0.809,14.89,0.98,496.4,1,3.7,39.89,0.08,"Nov 24, 2026 - Nov 24, 2026 (2026.328 - 2026.328)",0.22,,
